Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,79.70%,%,320315,401650,82.90%,76.60%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,78.40%,%,278300,354965,81.80%,75%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,79.70%,%,1465653,1837949,81.20%,78.30%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,84.60%,%,10845290,12814535,84.90%,84.30%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,81.60%,%,4694013.5,5753068,82%,81.10%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,68.50%,%,40006,58431.5,77.90%,59.10%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,68.30%,%,157496.5,230502.5,73%,63.60%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,71.20%,%,90033.5,126373,77.70%,64.80%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,65.50%,%,39524,60331,75%,56%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,68.80%,%,327060,475638,72.10%,65.50%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.60%,%,5022336.5,6230822,81%,80.20%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,73.60%,%,4425868.5,6013809,74.10%,73.10%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,64.70%,%,37470,57878.5,74.30%,55.20%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,57%,%,146763.5,257700.5,61.60%,52.30%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,62.10%,%,82485.5,132911,68.80%,55.30%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,60.20%,%,36213,60135,70%,50.40%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,59.60%,%,302932,508625,62.90%,56.20%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,72.50%,%,4730097.5,6525386,73%,72%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,66.60%,%,2758489,4142114,67.20%,66%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,48.90%,%,15678,32083,61.90%,35.80%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,53.50%,%,98587,184245,58.90%,48.10%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,54.80%,%,54590,99630,62.90%,46.70%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,45.40%,%,22086,48685,56.70%,34%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,52.40%,%,190941,364643,56.40%,48.40%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,65.40%,%,2950353,4508037,66.10%,64.80%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,72.60%,%,1379120,1900211,73.50%,71.70%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,58.30%,%,163331,280293,62.70%,53.90%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,59.20%,%,58394,98686,67%,51.40%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,61.30%,%,72560,118436,68.10%,54.40%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,58.80%,%,304863,518102,62.10%,55.60%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,69.60%,%,1685289,2421488,70.40%,68.80%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,41.10%,%,1283730,3124566,41.80%,40.40%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,29.80%,%,8939,29958,42.10%,17.50%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,36.10%,%,128129,355416,39.70%,32.40%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,34.10%,%,37528,110175,41.10%,27%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,41%,%,46125,112385,48.20%,33.90%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,36.30%,%,220721,607934,39.20%,33.40%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,40.30%,%,1504985,3733999,41%,39.60%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,62.80%,%,58413,93000,67.20%,58.40%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,58.60%,%,67951,116015,62.70%,54.40%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,74.90%,%,23971716,31994558,75.10%,74.70%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,66.80%,%,229289,343093,70.80%,62.90%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,64.30%,%,1451367,2256867,65.80%,62.80%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,66.20%,%,645157,974076,68.60%,63.80%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,65.40%,%,495758,758381,68%,62.70%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,65.10%,%,2821571,4332417,66.20%,64%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,55.80%,%,13015,23307,70.90%,40.80%
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,73.70%,%,26806302,36350282,73.90%,73.50%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.50%,%,4809053,5373711,89.90%,89.10%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,87.10%,%,49584,56919,94%,80.20%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,90.40%,%,468206,517930,92.40%,88.40%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81.60%,%,148382,181942,86.30%,76.90%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,84.80%,%,146779,173120,89.10%,80.40%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,87.40%,%,812951,929911,89.10%,85.70%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.20%,%,5624784,6307110,89.50%,88.80%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,84.10%,%,2681179.5,3188570.5,84.70%,83.50%
